Standard,Reducing Violence,Tackling Racism,Sexual Safety,Flexible Working,Line Management,Team Management,Appraisal,Development,Supportive Env - Facilities,Supportive Env - Wellbeing
Reducing Violence,1.0,0.6485361418592525,0.8699060316584872,0.7728330853470102,0.6978411304613596,0.42471796169001974,0.26411314165500743,0.07765962281681302,0.8063206897494402,0.5062238907222352
Tackling Racism,0.6485361418592525,1.0,0.44921159455049514,0.6581576099810563,0.6675880712247484,0.7410716133088447,0.5844830407296252,0.6143841677358186,0.5701296435015373,0.7830915087268888
Sexual Safety,0.8699060316584872,0.44921159455049514,1.0,0.636916150450882,0.4987598710488691,0.33670284934308337,0.29091409451490513,0.03511889607228756,0.6793112654726001,0.39351769282625315
Flexible Working,0.7728330853470102,0.6581576099810563,0.636916150450882,1.0,0.9176352389447582,0.6056088417272879,0.44382883984808896,0.31267659130161124,0.8224812824779668,0.7074122395151121
Line Management,0.6978411304613596,0.6675880712247484,0.4987598710488691,0.9176352389447582,1.0,0.7112429101978067,0.4948408583283787,0.407865563078086,0.7299304526181163,0.713455686581793
Team Management,0.42471796169001974,0.7410716133088447,0.33670284934308337,0.6056088417272879,0.7112429101978067,1.0,0.7631533321860531,0.7627138760048744,0.4101549057574693,0.8091040784370019
Appraisal,0.26411314165500743,0.5844830407296252,0.29091409451490513,0.44382883984808896,0.4948408583283787,0.7631533321860531,1.0,0.8100644171803976,0.23522531637899408,0.7673563615642394
Development,0.07765962281681302,0.6143841677358186,0.03511889607228756,0.31267659130161124,0.407865563078086,0.7627138760048744,0.8100644171803976,1.0,0.0749873867883516,0.7610301411178817
Supportive Env - Facilities,0.8063206897494402,0.5701296435015373,0.6793112654726001,0.8224812824779668,0.7299304526181163,0.4101549057574693,0.23522531637899408,0.0749873867883516,1.0,0.4796823557540067
Supportive Env - Wellbeing,0.5062238907222352,0.7830915087268888,0.39351769282625315,0.7074122395151121,0.713455686581793,0.8091040784370019,0.7673563615642394,0.7610301411178817,0.4796823557540067,1.0
